iter	Passed	Remaining
0	1	105
1	2	102
2	2	94
3	3	84
4	4	86
5	5	84
6	6	82
7	6	79
8	7	78
9	8	76
10	9	75
11	9	73
12	10	71
13	11	69
14	12	68
15	12	67
16	14	70
17	15	70
18	16	69
19	17	68
20	17	67
21	18	65
22	19	64
23	19	63
24	20	62
25	21	61
26	22	60
27	22	58
28	23	57
29	24	57
30	25	56
31	25	55
32	26	54
33	27	53
34	30	55
35	30	54
36	31	54
37	32	52
38	33	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	56	24
70	57	23
71	57	22
72	58	21
73	59	21
74	60	20
75	61	19
76	62	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	67	12
84	67	11
85	68	11
86	69	10
87	70	9
88	71	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	77	1
98	78	0
99	78	0
